name	shape	status	lr	optimizer
transformer.byt5_in.layernorm.weight	1472	frozen	-	frozen
transformer.byt5_in.layernorm.bias	1472	frozen	-	frozen
transformer.byt5_in.fc1.weight	2048x1472	frozen	-	frozen
transformer.byt5_in.fc1.bias	2048	frozen	-	frozen
transformer.byt5_in.fc2.weight	2048x2048	frozen	-	frozen
transformer.byt5_in.fc2.bias	2048	frozen	-	frozen
transformer.byt5_in.fc3.weight	2048x2048	frozen	-	frozen
transformer.byt5_in.fc3.bias	2048	frozen	-	frozen
transformer.img_in.proj.weight	2048x65x1x1x1	frozen	-	frozen
transformer.img_in.proj.bias	2048	frozen	-	frozen
transformer.vision_in.proj.0.weight	1152	frozen	-	frozen
transformer.vision_in.proj.0.bias	1152	frozen	-	frozen
transformer.vision_in.proj.1.weight	1152x1152	frozen	-	frozen
transformer.vision_in.proj.1.bias	1152	frozen	-	frozen
transformer.vision_in.proj.3.weight	2048x1152	frozen	-	frozen
transformer.vision_in.proj.3.bias	2048	frozen	-	frozen
transformer.vision_in.proj.4.weight	2048	frozen	-	frozen
transformer.vision_in.proj.4.bias	2048	frozen	-	frozen
transformer.txt_in.input_embedder.weight	2048x3584	frozen	-	frozen
transformer.txt_in.input_embedder.bias	2048	frozen	-	frozen
transformer.txt_in.t_embedder.mlp.0.weight	2048x256	frozen	-	frozen
transformer.txt_in.t_embedder.mlp.0.bias	2048	frozen	-	frozen
transformer.txt_in.t_embedder.mlp.2.weight	2048x2048	frozen	-	frozen
transformer.txt_in.t_embedder.mlp.2.bias	2048	frozen	-	frozen
transformer.txt_in.c_embedder.linear_1.weight	2048x3584	frozen	-	frozen
transformer.txt_in.c_embedder.linear_1.bias	2048	frozen	-	frozen
transformer.txt_in.c_embedder.linear_2.weight	2048x2048	frozen	-	frozen
transformer.txt_in.c_embedder.linear_2.bias	2048	frozen	-	frozen
transformer.txt_in.individual_token_refiner.blocks.0.norm1.weight	2048	frozen	-	frozen
transformer.txt_in.individual_token_refiner.blocks.0.norm1.bias	2048	frozen	-	frozen
transformer.txt_in.individual_token_refiner.blocks.0.self_attn_qkv.weight	6144x2048	frozen	-	frozen
transformer.txt_in.individual_token_refiner.blocks.0.self_attn_qkv.bias	6144	frozen	-	frozen
transformer.txt_in.individual_token_refiner.blocks.0.self_attn_proj.weight	2048x2048	frozen	-	frozen
transformer.txt_in.individual_token_refiner.blocks.0.self_attn_proj.bias	2048	frozen	-	frozen
transformer.txt_in.individual_token_refiner.blocks.0.norm2.weight	2048	frozen	-	frozen
transformer.txt_in.individual_token_refiner.blocks.0.norm2.bias	2048	frozen	-	frozen
transformer.txt_in.individual_token_refiner.blocks.0.mlp.fc1.weight	8192x2048	frozen	-	frozen
transformer.txt_in.individual_token_refiner.blocks.0.mlp.fc1.bias	8192	frozen	-	frozen
transformer.txt_in.individual_token_refiner.blocks.0.mlp.fc2.weight	2048x8192	frozen	-	frozen
transformer.txt_in.individual_token_refiner.blocks.0.mlp.fc2.bias	2048	frozen	-	frozen
transformer.txt_in.individual_token_refiner.blocks.0.adaLN_modulation.1.weight	4096x2048	frozen	-	frozen
transformer.txt_in.individual_token_refiner.blocks.0.adaLN_modulation.1.bias	4096	frozen	-	frozen
transformer.txt_in.individual_token_refiner.blocks.1.norm1.weight	2048	frozen	-	frozen
transformer.txt_in.individual_token_refiner.blocks.1.norm1.bias	2048	frozen	-	frozen
transformer.txt_in.individual_token_refiner.blocks.1.self_attn_qkv.weight	6144x2048	frozen	-	frozen
transformer.txt_in.individual_token_refiner.blocks.1.self_attn_qkv.bias	6144	frozen	-	frozen
transformer.txt_in.individual_token_refiner.blocks.1.self_attn_proj.weight	2048x2048	frozen	-	frozen
transformer.txt_in.individual_token_refiner.blocks.1.self_attn_proj.bias	2048	frozen	-	frozen
transformer.txt_in.individual_token_refiner.blocks.1.norm2.weight	2048	frozen	-	frozen
transformer.txt_in.individual_token_refiner.blocks.1.norm2.bias	2048	frozen	-	frozen
transformer.txt_in.individual_token_refiner.blocks.1.mlp.fc1.weight	8192x2048	frozen	-	frozen
transformer.txt_in.individual_token_refiner.blocks.1.mlp.fc1.bias	8192	frozen	-	frozen
transformer.txt_in.individual_token_refiner.blocks.1.mlp.fc2.weight	2048x8192	frozen	-	frozen
transformer.txt_in.individual_token_refiner.blocks.1.mlp.fc2.bias	2048	frozen	-	frozen
transformer.txt_in.individual_token_refiner.blocks.1.adaLN_modulation.1.weight	4096x2048	frozen	-	frozen
transformer.txt_in.individual_token_refiner.blocks.1.adaLN_modulation.1.bias	4096	frozen	-	frozen
transformer.time_in.mlp.0.weight	2048x256	frozen	-	frozen
transformer.time_in.mlp.0.bias	2048	frozen	-	frozen
transformer.time_in.mlp.2.weight	2048x2048	frozen	-	frozen
transformer.time_in.mlp.2.bias	2048	frozen	-	frozen
transformer.double_blocks.0._checkpoint_wrapped_module.img_mod.linear.base_layer.weight	12288x2048	frozen	-	frozen
transformer.double_blocks.0._checkpoint_wrapped_module.img_mod.linear.base_layer.bias	12288	frozen	-	frozen
transformer.double_blocks.0._checkpoint_wrapped_module.img_mod.linear.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.0._checkpoint_wrapped_module.img_mod.linear.lora_B.default.weight	12288x64	trainable	1e-05	adamw
transformer.double_blocks.0._checkpoint_wrapped_module.img_attn_q.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.0._checkpoint_wrapped_module.img_attn_q.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.0._checkpoint_wrapped_module.img_attn_q.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.0._checkpoint_wrapped_module.img_attn_q.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.0._checkpoint_wrapped_module.img_attn_k.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.0._checkpoint_wrapped_module.img_attn_k.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.0._checkpoint_wrapped_module.img_attn_k.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.0._checkpoint_wrapped_module.img_attn_k.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.0._checkpoint_wrapped_module.img_attn_v.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.0._checkpoint_wrapped_module.img_attn_v.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.0._checkpoint_wrapped_module.img_attn_v.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.0._checkpoint_wrapped_module.img_attn_v.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.0._checkpoint_wrapped_module.img_attn_q_norm.weight	128	trainable	1e-05	adamw
transformer.double_blocks.0._checkpoint_wrapped_module.img_attn_k_norm.weight	128	trainable	1e-05	adamw
transformer.double_blocks.0._checkpoint_wrapped_module.img_attn_proj.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.0._checkpoint_wrapped_module.img_attn_proj.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.0._checkpoint_wrapped_module.img_attn_proj.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.0._checkpoint_wrapped_module.img_attn_proj.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.0._checkpoint_wrapped_module.img_mlp.fc1.base_layer.weight	8192x2048	frozen	-	frozen
transformer.double_blocks.0._checkpoint_wrapped_module.img_mlp.fc1.base_layer.bias	8192	frozen	-	frozen
transformer.double_blocks.0._checkpoint_wrapped_module.img_mlp.fc1.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.0._checkpoint_wrapped_module.img_mlp.fc1.lora_B.default.weight	8192x64	trainable	1e-05	adamw
transformer.double_blocks.0._checkpoint_wrapped_module.img_mlp.fc2.base_layer.weight	2048x8192	frozen	-	frozen
transformer.double_blocks.0._checkpoint_wrapped_module.img_mlp.fc2.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.0._checkpoint_wrapped_module.img_mlp.fc2.lora_A.default.weight	64x8192	trainable	1e-05	adamw
transformer.double_blocks.0._checkpoint_wrapped_module.img_mlp.fc2.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.0._checkpoint_wrapped_module.txt_mod.linear.weight	12288x2048	frozen	-	frozen
transformer.double_blocks.0._checkpoint_wrapped_module.txt_mod.linear.bias	12288	frozen	-	frozen
transformer.double_blocks.0._checkpoint_wrapped_module.txt_attn_q.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.0._checkpoint_wrapped_module.txt_attn_q.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.0._checkpoint_wrapped_module.txt_attn_q.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.0._checkpoint_wrapped_module.txt_attn_q.lora_B.default.weight	2048x64	trainable	1e-05	adamw
transformer.double_blocks.0._checkpoint_wrapped_module.txt_attn_k.base_layer.weight	2048x2048	frozen	-	frozen
transformer.double_blocks.0._checkpoint_wrapped_module.txt_attn_k.base_layer.bias	2048	frozen	-	frozen
transformer.double_blocks.0._checkpoint_wrapped_module.txt_attn_k.lora_A.default.weight	64x2048	trainable	1e-05	adamw
transformer.double_blocks.0._checkpoint_wrapped_module.txt_attn_k.lora_B.default.weight	2048x64	trainable	1e-05	adamw
